"productkey","productalternatekey","productsubcategorykey","englishproductname","color","safetystocklevel","reorderpoint","size","daystomanufacture","productline","modelname","englishdescription","startdate","enddate","status","productcategorykey","productcategoryalternatekey","englishproductcategoryname","productsubcategorykey-2","productsubcategoryalternatekey","englishproductsubcategoryname","productcategorykey-2"
359,"BK-M68B-38",1,"Mountain-200 Black, 38","Black",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
360,"BK-M68B-42",1,"Mountain-200 Black, 42","Black",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
361,"BK-M68B-42",1,"Mountain-200 Black, 42","Black",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
362,"BK-M68B-46",1,"Mountain-200 Black, 46","Black",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
363,"BK-M68B-46",1,"Mountain-200 Black, 46","Black",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
364,"BK-M47B-38",1,"Mountain-300 Black, 38","Black",100,75,"38",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
365,"BK-M47B-40",1,"Mountain-300 Black, 40","Black",100,75,"40",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
366,"BK-M47B-44",1,"Mountain-300 Black, 44","Black",100,75,"44",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
367,"BK-M47B-48",1,"Mountain-300 Black, 48","Black",100,75,"48",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
598,"BK-M18B-44",1,"Mountain-500 Black, 44","Black",100,75,"44",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
597,"BK-M18B-42",1,"Mountain-500 Black, 42","Black",100,75,"42",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
596,"BK-M18B-40",1,"Mountain-500 Black, 40","Black",100,75,"40",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
595,"BK-M18S-52",1,"Mountain-500 Silver, 52","Silver",100,75,"52",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
594,"BK-M18S-48",1,"Mountain-500 Silver, 48","Silver",100,75,"48",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
