"productkey","productalternatekey","productsubcategorykey","englishproductname","color","safetystocklevel","reorderpoint","size","daystomanufacture","productline","modelname","englishdescription","startdate","enddate","status","englishproductcategoryname","englishproductsubcategoryname"
338,"BK-R50B-44",2,"Road-650 Black, 44","Black",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
339,"BK-R50B-44",2,"Road-650 Black, 44","Black",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
340,"BK-R50B-48",2,"Road-650 Black, 48","Black",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
341,"BK-R50B-48",2,"Road-650 Black, 48","Black",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
342,"BK-R50B-52",2,"Road-650 Black, 52","Black",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
343,"BK-R50B-52",2,"Road-650 Black, 52","Black",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
344,"BK-M82S-38",1,"Mountain-100 Silver, 38","Silver",100,75,"38",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
345,"BK-M82S-42",1,"Mountain-100 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
346,"BK-M82S-44",1,"Mountain-100 Silver, 44","Silver",100,75,"44",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
347,"BK-M82S-48",1,"Mountain-100 Silver, 48","Silver",100,75,"48",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
348,"BK-M82B-38",1,"Mountain-100 Black, 38","Black",100,75,"38",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
349,"BK-M82B-42",1,"Mountain-100 Black, 42","Black",100,75,"42",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
350,"BK-M82B-44",1,"Mountain-100 Black, 44","Black",100,75,"44",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
351,"BK-M82B-48",1,"Mountain-100 Black, 48","Black",100,75,"48",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
352,"BK-M68S-38",1,"Mountain-200 Silver, 38","Silver",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
353,"BK-M68S-38",1,"Mountain-200 Silver, 38","Silver",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
354,"BK-M68S-42",1,"Mountain-200 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
355,"BK-M68S-42",1,"Mountain-200 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
356,"BK-M68S-46",1,"Mountain-200 Silver, 46","Silver",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
357,"BK-M68S-46",1,"Mountain-200 Silver, 46","Silver",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
358,"BK-M68B-38",1,"Mountain-200 Black, 38","Black",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
359,"BK-M68B-38",1,"Mountain-200 Black, 38","Black",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
360,"BK-M68B-42",1,"Mountain-200 Black, 42","Black",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
361,"BK-M68B-42",1,"Mountain-200 Black, 42","Black",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
362,"BK-M68B-46",1,"Mountain-200 Black, 46","Black",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
363,"BK-M68B-46",1,"Mountain-200 Black, 46","Black",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
364,"BK-M47B-38",1,"Mountain-300 Black, 38","Black",100,75,"38",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
365,"BK-M47B-40",1,"Mountain-300 Black, 40","Black",100,75,"40",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
366,"BK-M47B-44",1,"Mountain-300 Black, 44","Black",100,75,"44",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
367,"BK-M47B-48",1,"Mountain-300 Black, 48","Black",100,75,"48",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL,"Bikes","Mountain Bikes"
368,"BK-R89R-44",2,"Road-250 Red, 44","Red",100,75,"44",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
369,"BK-R89R-48",2,"Road-250 Red, 48","Red",100,75,"48",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
370,"BK-R89R-52",2,"Road-250 Red, 52","Red",100,75,"52",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
371,"BK-R89R-58",2,"Road-250 Red, 58","Red",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
372,"BK-R89R-58",2,"Road-250 Red, 58","Red",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current","Bikes","Road Bikes"
